#,Area,English,Bulgarian,Sources
267,Modals,Save privately without sending notifications.,,src/components/modals/CreateAnnouncementModal.tsx
268,Modals,Schedule,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/CurriculumDateView.tsx
269,Modals,Scheduled date and time,,src/components/modals/CreateAnnouncementModal.tsx
270,Modals,"Search by name, email, or role",,src/components/modals/CreateAnnouncementModal.tsx
271,Modals,Second Hour,,src/components/modals/EditModal/EditClassForm.tsx
272,Modals,Second Year,,src/components/modals/CreateAnnouncementModal.tsx; src/components/modals/EditModal/EditCourseForm.tsx; src/components/modals/EditModal/EditSubjectForm.tsx; src/components/modals/EditModal/EditUserForm.tsx; src/views/admin/TuitionView.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx; src/views/admin/planning/SubjectLibraryPanel.tsx
273,Modals,Select a mentor,,src/components/modals/MentorAssignModal.tsx
274,Modals,Select a subject,,src/components/modals/EditModal/EditClassForm.tsx
275,Modals,Select a teacher,,src/components/modals/EditModal/EditSubjectForm.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx
276,Modals,Select a year group,,src/components/modals/EditModal/EditSubjectForm.tsx
277,Modals,Select hour,,src/components/modals/EditModal/EditClassForm.tsx
278,Modals,Select New Mentor,,src/components/modals/MentorAssignModal.tsx
279,Modals,"Select one or more people. Each person is counted once, even with multiple roles.",,src/components/modals/CreateAnnouncementModal.tsx
280,Modals,Select year group type,,src/components/modals/EditModal/EditCourseForm.tsx
281,Modals,Send Email,,src/components/modals/ContactMentorModal.tsx
282,Modals,Session Title,,src/components/modals/EditModal/EditClassForm.tsx
283,Modals,Session:,,src/components/modals/EditModal/EditClassForm.tsx
284,Modals,Sheet,,src/components/modals/CreateAnnouncementModal.tsx
285,Modals,Slide,,src/components/modals/CreateAnnouncementModal.tsx
286,Modals,Start Date,,src/components/modals/EditModal/EditCourseForm.tsx; src/components/modals/EditModal/EditSubjectForm.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx
287,Modals,Stream,,src/components/modals/CreateAnnouncementModal.tsx; src/hooks/useUniversalSearchIndex.tsx; src/views/admin/KnowledgeBaseView.tsx
288,Modals,Student year group,,src/components/modals/EditModal/EditUserForm.tsx
289,Modals,Subject Title,,src/components/modals/EditModal/EditSubjectForm.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx
290,Modals,Submission Details,,src/components/modals/SubmissionDetailModal.tsx
291,Modals,Summary,,src/components/modals/CreateAnnouncementModal.tsx; src/views/student/MyAttendanceBreakdownView.tsx
292,Modals,Teacher role only,,src/components/modals/CreateAnnouncementModal.tsx
293,Modals,Teaching,,src/components/modals/EditModal/EditUserForm.tsx; src/views/admin/users/UsersHubView.tsx
294,Modals,Teaching year groups,,src/components/modals/EditModal/EditUserForm.tsx
295,Modals,Team leadership,,src/components/modals/EditModal/EditUserForm.tsx
296,Modals,Teams,,src/components/modals/EditModal/EditUserForm.tsx; src/views/admin/AttendanceView.tsx
297,Modals,This student must be enrolled in a course before a mentor can be assigned.,,src/components/modals/MentorAssignModal.tsx; src/views/admin/MentorshipAssignmentsPanel.tsx
298,Modals,This will pre-create the specified number of sessions,,src/components/modals/EditModal/EditSubjectForm.tsx
